Number;Name;Height;East;Degree;Minute;Second;North;Degree;Minute;Second
168;;6108;95° 25' 46'';95;25;46;30° 18' 3'';30;18;3
169;;6107;93° 45' 18'';93;45;18;30° 17' 12'';30;17;12
170;;6106;94° 51' 8'';94;51;8;30° 30' 28'';30;30;28
171;;6106;95° 17' 59'';95;17;59;30° 22' 27'';30;22;27
172;;6105;94° 0' 25'';94;0;25;30° 47' 13'';30;47;13
173;;6104;94° 15' 50'';94;15;50;30° 33' 59'';30;33;59
174;;6102;93° 58' 24'';93;58;24;30° 18' 22'';30;18;22
175;;6100;95° 24' 32'';95;24;32;30° 18' 11'';30;18;11
176;;6100;93° 8' 20'';93;8;20;30° 19' 56'';30;19;56
177;;6092;94° 35' 3'';94;35;3;30° 41' 13'';30;41;13
178;;6091;93° 19' 27'';93;19;27;30° 18' 14'';30;18;14
179;;6090;94° 40' 29'';94;40;29;30° 36' 0'';30;36;0
180;;6090;93° 57' 34'';93;57;34;30° 44' 55'';30;44;55
181;;6088;93° 27' 51'';93;27;51;30° 29' 47'';30;29;47
182;;6085;93° 48' 30'';93;48;30;30° 18' 32'';30;18;32
183;;6084;93° 43' 11'';93;43;11;30° 18' 2'';30;18;2
184;;6084;93° 26' 19'';93;26;19;30° 29' 8'';30;29;8
185;;6082;94° 6' 11'';94;6;11;30° 16' 5'';30;16;5
186;;6080;95° 7' 43'';95;7;43;30° 22' 40'';30;22;40
187;;6078;93° 55' 41'';93;55;41;30° 7' 35'';30;7;35
188;;6078;93° 32' 42'';93;32;42;30° 19' 10'';30;19;10
189;;6078;94° 48' 10'';94;48;10;30° 36' 15'';30;36;15
190;;6078;94° 6' 20'';94;6;20;30° 11' 50'';30;11;50
191;;6077;93° 36' 20'';93;36;20;30° 17' 18'';30;17;18
192;Maya;6076;93° 52' 5'';93;52;5;30° 52' 58'';30;52;58
193;;6076;94° 7' 41'';94;7;41;30° 14' 33'';30;14;33
194;;6073;93° 44' 23'';93;44;23;30° 17' 27'';30;17;27
195;;6072;93° 51' 23'';93;51;23;30° 54' 29'';30;54;29
196;;6071;93° 25' 28'';93;25;28;30° 13' 50'';30;13;50
197;;6070;95° 7' 48'';95;7;48;30° 24' 13'';30;24;13
198;;6066;93° 23' 56'';93;23;56;30° 29' 1'';30;29;1
199;;6065;93° 9' 10'';93;9;10;30° 19' 12'';30;19;12
200;;6063;94° 5' 22'';94;5;22;30° 43' 16'';30;43;16
201;;6062;93° 39' 2'';93;39;2;30° 27' 48'';30;27;48
202;Ura Drajhmo;6060;93° 25' 28'';93;25;28;30° 15' 13'';30;15;13
203;;6060;94° 2' 15'';94;2;15;30° 17' 43'';30;17;43
204;;6060;94° 2' 40'';94;2;40;30° 22' 12'';30;22;12
205;;6058;93° 53' 10'';93;53;10;30° 37' 16'';30;37;16
206;;6056;93° 17' 59'';93;17;59;30° 28' 29'';30;28;29
207;;6056;93° 54' 28'';93;54;28;30° 4' 53'';30;4;53
208;;6056;93° 47' 21'';93;47;21;30° 19' 11'';30;19;11
209;;6056;95° 0' 54'';95;0;54;30° 26' 10'';30;26;10
210;;6055;93° 35' 51'';93;35;51;30° 17' 5'';30;17;5
211;;6050;94° 29' 57'';94;29;57;30° 25' 39'';30;25;39
212;;6048;93° 31' 50'';93;31;50;30° 26' 30'';30;26;30
213;;6048;95° 1' 20'';95;1;20;30° 20' 46'';30;20;46
214;;6044;93° 56' 51'';93;56;51;30° 18' 21'';30;18;21
215;;6041;93° 58' 45'';93;58;45;30° 50' 24'';30;50;24
216;;6041;93° 47' 15'';93;47;15;30° 31' 5'';30;31;5
217;;6041;93° 6' 6'';93;6;6;30° 22' 28'';30;22;28
218;;6040;94° 32' 60'';94;32;60;30° 33' 44'';30;33;44
219;;6040;94° 23' 55'';94;23;55;30° 16' 41'';30;16;41
220;;6040;94° 29' 19'';94;29;19;30° 11' 54'';30;11;54
221;;6038;93° 17' 6'';93;17;6;30° 29' 34'';30;29;34
222;;6037;93° 33' 15'';93;33;15;30° 59' 29'';30;59;29
223;;6036;94° 23' 56'';94;23;56;30° 26' 47'';30;26;47
224;;6032;94° 8' 42'';94;8;42;30° 8' 20'';30;8;20
225;;6030;95° 5' 4'';95;5;4;30° 37' 26'';30;37;26
226;;6029;93° 37' 56'';93;37;56;30° 17' 30'';30;17;30
227;;6028;95° 4' 29'';95;4;29;30° 36' 46'';30;36;46
228;;6026;94° 42' 14'';94;42;14;30° 37' 48'';30;37;48
229;;6025;93° 40' 6'';93;40;6;30° 15' 30'';30;15;30
230;;6022;94° 49' 4'';94;49;4;30° 39' 53'';30;39;53
231;;6022;95° 9' 11'';95;9;11;30° 23' 9'';30;23;9
232;;6020;94° 3' 28'';94;3;28;30° 22' 56'';30;22;56
233;;6020;94° 6' 57'';94;6;57;30° 16' 31'';30;16;31
234;;6020;95° 5' 43'';95;5;43;30° 20' 44'';30;20;44
235;;6018;94° 32' 16'';94;32;16;30° 34' 36'';30;34;36
236;;6017;93° 4' 26'';93;4;26;30° 30' 31'';30;30;31
237;;6014;93° 31' 34'';93;31;34;30° 18' 32'';30;18;32
238;;6014;94° 39' 18'';94;39;18;30° 36' 24'';30;36;24
239;;6010;93° 40' 34'';93;40;34;30° 27' 38'';30;27;38
240;;6010;93° 39' 17'';93;39;17;30° 31' 7'';30;31;7
241;;6010;94° 53' 39'';94;53;39;30° 35' 58'';30;35;58
242;;6008;93° 38' 12'';93;38;12;30° 31' 59'';30;31;59
243;;6006;94° 53' 36'';94;53;36;30° 38' 9'';30;38;9
244;;6002;93° 56' 21'';93;56;21;30° 25' 35'';30;25;35
245;;6001;95° 34' 5'';95;34;5;30° 10' 53'';30;10;53
246;;6000;93° 1' 18'';93;1;18;30° 31' 48'';30;31;48
